Cobalt_chloride,CopperSulfate,Diamide,E6-Berbamine,Ethanol,Formamide,Hydroxyurea,IndolaceticAcid,Lactate,Lactose
575,20655,27327,574,23277,24575,3336,23473,7822,23275
9825,25746,20650,23469,20655,21601,23278,21602,23275,24029
14165,12054,8424,113,24026,25747,12037,11144,24637,24640
6732,17509,1307,14682,19025,11931,25813,3345,17930,18824
20567,19024,27706,12694,23478,20655,24667,12009,25063,6705
15104,18007,11144,20659,4834,11142,13421,5451,24038,25154
19032,24569,1976,21432,11994,19027,24016,10474,19438,23474
24235,4978,3161,15118,7800,11373,27713,3144,12586,23017
9358,11462,10026,23258,11143,23482,194,19013,6705,11945
23485,8998,25747,19025,11940,11802,5089,1741,5644,5505
25754,10127,21298,8985,3316,3337,7847,5867,11401,9354
7022,69,15104,7943,22523,10129,11120,4179,27673,5640
3210,23287,24811,11148,25397,22328,15753,21017,59,20571
22579,22621,9038,22340,27655,5449,17811,15417,16427,27672
26569,27667,20880,20380,13792,1681,9170,13781,23471,17913
18821,25281,12491,18489,1691,7329,22485,27694,18806,19428
11162,22376,25975,273,12361,7235,20213,21388,2207,5423
24693,2275,19020,18574,21092,27420,,26800,11970,6990
123,1694,7012,12555,16187,15105,,4813,25742,2927
8289,8802,9603,11391,3526,15870,,24015,24452,26628
18491,3433,23514,20147,24588,26574,,5451,26660,19024
26439,6958,119,23796,5033,27034,,3339,2926,1916
24503,23487,26048,17159,26726,23128,,11118,7016,5032
18007,6168,2759,27042,7152,9772,,11145,15356,7417
3351,21244,20570,9468,20271,8350,,3339,12811,15069
12491,12254,9419,22609,16574,15485,,5460,5575,20860
27800,24028,5404,4662,5759,16584,,3327,4636,25057
2403,8755,11840,10126,1078,1315,,11128,15852,12364
23594,408,16091,20664,23267,97,,6589,13651,14621
25117,12752,12715,7126,8803,22124,,1852,5435,25752
13606,4598,11992,13359,19023,5694,,17909,19066,5336
27047,9470,26587,12242,5667,7801,,11148,295,13651
26257,11460,20894,1852,23252,4824,,11143,5866,27885
20569,11462,22916,4405,17997,6804,,23470,22961,22424
20636,11457,18343,27818,17607,9199,,21602,12351,9625
15105,17470,7976,7270,14114,2950,,5451,9625,23261
15116,19019,8638,3105,19527,18079,,23479,27883,7764
3145,20693,19808,28089,23472,5459,,23472,23267,16820
22176,19014,11293,4994,19064,5462,,24599,18530,15268
21352,17497,18007,24925,25435,23284,,18013,8216,18497
19017,11462,3476,23461,20311,20648,,23207,14786,10019
15852,17512,25184,3623,23254,11110,,18475,20226,22190
23482,4958,17729,11620,14403,673,,,8808,5562
22506,4976,3346,9692,23360,11808,,,24667,19041
19105,4957,18575,20872,,5696,,,5558,5451
20655,11465,24343,3440,,11143,,,23469,9511
19049,18934,23146,5573,,9117,,,19463,19032
22823,4956,21607,14405,,24662,,,19136,24927
23441,4976,14731,20655,,11146,,,19033,3350
23542,4022,27410,12694,,23479,,,5447,12402
22897,19026,4413,19031,,23451,,,8767,20778
,8513,5695,112,,23467,,,24670,5699
,8130,12744,23450,,23470,,,24013,23286
,16745,5859,19084,,18090,,,7259,25793
,24188,23847,14674,,21030,,,22985,11037
,19052,5027,19531,,27518,,,19528,23315
,20656,20668,18489,,21598,,,25751,23458
,23293,12405,6815,,15825,,,23291,25798
,20671,21211,21158,,25882,,,24635,11246
,23313,6691,19454,,,,,24645,23247
,23286,5427,12691,,,,,24071,23293
,20649,1894,6837,,,,,25800,14045
,23292,24489,14874,,,,,11036,
,17521,27799,23471,,,,,25786,
,19018,27310,23462,,,,,25003,
,20648,18841,23470,,,,,25736,
,11456,11147,23472,,,,,10128,
,23293,24366,27032,,,,,23057,
,21156,,20721,,,,,25168,
,24673,,23451,,,,,,
,19014,,23469,,,,,,
,17588,,20663,,,,,,
,20347,,23470,,,,,,
,21149,,23448,,,,,,
,23409,,27821,,,,,,
,24687,,20785,,,,,,
,24370,,25543,,,,,,
,25727,,20721,,,,,,
